[2023-04-14 03:00:01,455] Attacker IP: 192.168.56.104 |  Command: USER | Input: reece
[2023-04-14 03:00:01,455] Attacker IP: 192.168.56.104 |  Command: USER | Input: reece
[2023-04-14 03:00:02,230] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 03:00:02,230] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 03:01:29,680] Attacker IP: 192.168.56.104 |  Command: USER | Input: user8
[2023-04-14 03:01:29,680] Attacker IP: 192.168.56.104 |  Command: USER | Input: user8
[2023-04-14 03:01:32,674] Attacker IP: 192.168.56.104 |  Command: PASS | Input: pass7
[2023-04-14 03:01:32,674] Attacker IP: 192.168.56.104 |  Command: PASS | Input: pass7
[2023-04-14 03:01:32,675] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 03:01:32,675] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 03:01:32,675] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 03:01:32,675] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 04:25:25,592] Attacker IP: 192.168.56.104 |  Command: USER | Input: reece
[2023-04-14 04:25:25,592] Attacker IP: 192.168.56.104 |  Command: USER | Input: reece
[2023-04-14 04:25:27,472] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 04:25:27,472] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:03:13,418] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:03:13,418] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:03:15,420] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:03:15,420] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:03:15,421] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:03:15,421] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:03:15,421] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:03:15,421] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:03:32,610] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:03:32,610] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:03:39,006] Attacker IP: 192.168.56.104 |  Command: USER | Input: a
[2023-04-14 05:03:39,006] Attacker IP: 192.168.56.104 |  Command: USER | Input: a
[2023-04-14 05:03:39,006] Attacker IP: 192.168.56.104 |  Command: USER | Input: a
[2023-04-14 05:08:45,775] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:08:45,775] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:08:45,775] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:08:48,980] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:08:48,980] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:08:48,980] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:08:48,980] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:08:49,687] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:08:49,687] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:08:49,687] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:08:49,687] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:08:49,688] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:08:49,688] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:08:49,688] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:08:49,688] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:08:49,688] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:08:49,688] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:08:49,688] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:08:49,688] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:11:18,707] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:11:18,707] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:11:18,707] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:11:18,707] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:11:18,707] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:11:18,707] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:11:18,707] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:11:18,707] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:11:18,708] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:11:18,708] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:11:18,708] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:11:18,708] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:12:36,162] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:12:36,162] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:12:36,162] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:12:36,162] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:14:28,040] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:14:28,040] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:14:28,847] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:14:28,847] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:14:28,848] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:14:28,848] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:14:28,848] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:14:28,848] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:14:30,104] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:14:30,104] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:14:30,105] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:14:30,105] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:14:30,105] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:14:30,105] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:16:47,026] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:16:47,026] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:16:50,138] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:16:50,138] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:16:50,138] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:16:50,864] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:16:50,864] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:16:50,864] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:16:50,864] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:16:50,864] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:16:50,864] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:16:50,864] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:16:50,864] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:16:50,864] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:17:00,360] Attacker IP: 192.168.56.104 |  Command: CWD | Input: documents
[2023-04-14 05:17:00,360] Attacker IP: 192.168.56.104 |  Command: CWD | Input: documents
[2023-04-14 05:17:00,360] Attacker IP: 192.168.56.104 |  Command: CWD | Input: documents
[2023-04-14 05:19:44,215] Attacker IP: 192.168.56.104 |  Command: PWD | Input: 
[2023-04-14 05:19:44,215] Attacker IP: 192.168.56.104 |  Command: PWD | Input: 
[2023-04-14 05:19:44,215] Attacker IP: 192.168.56.104 |  Command: PWD | Input: 
[2023-04-14 05:24:24,524] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:24:24,524] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:24:24,524] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:24:24,525] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:24:24,525] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:24:24,525] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:24:24,525] Attacker IP: 192.168.56.104 |  Command: STOR | Input: test_file.txt
[2023-04-14 05:24:24,525] Attacker IP: 192.168.56.104 |  Command: STOR | Input: test_file.txt
[2023-04-14 05:24:24,525] Attacker IP: 192.168.56.104 |  Command: STOR | Input: test_file.txt
[2023-04-14 05:34:37,729] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:34:37,729] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:34:37,729] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:34:47,130] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:34:47,130] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:34:47,130] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:34:47,130] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:34:47,761] Attacker IP: 192.168.56.104 |  Command: FEAT | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: EPSV | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:38:41,283] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:38:49,584] Attacker IP: 192.168.56.104 |  Command: CWD | Input: documents
[2023-04-14 05:38:49,584] Attacker IP: 192.168.56.104 |  Command: CWD | Input: documents
[2023-04-14 05:38:49,584] Attacker IP: 192.168.56.104 |  Command: CWD | Input: documents
[2023-04-14 05:38:49,584] Attacker IP: 192.168.56.104 |  Command: CWD | Input: documents
[2023-04-14 05:38:50,415] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:38:50,415] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:38:50,415] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:38:50,415] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:38:50,415] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:38:50,415] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:38:50,415] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:38:50,415] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 05:39:09,076] Attacker IP: 192.168.56.104 |  Command: SIZE | Input: client_list.txt
[2023-04-14 05:39:09,076] Attacker IP: 192.168.56.104 |  Command: SIZE | Input: client_list.txt
[2023-04-14 05:39:09,076] Attacker IP: 192.168.56.104 |  Command: SIZE | Input: client_list.txt
[2023-04-14 05:39:09,076] Attacker IP: 192.168.56.104 |  Command: SIZE | Input: client_list.txt
[2023-04-14 05:39:09,077] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:39:09,077] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:39:09,077] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:39:09,077] Attacker IP: 192.168.56.104 |  Command: PASV | Input: 
[2023-04-14 05:39:09,077] Attacker IP: 192.168.56.104 |  Command: RETR | Input: client_list.txt
[2023-04-14 05:39:09,077] Attacker IP: 192.168.56.104 |  Command: RETR | Input: client_list.txt
[2023-04-14 05:39:09,077] Attacker IP: 192.168.56.104 |  Command: RETR | Input: client_list.txt
[2023-04-14 05:39:09,077] Attacker IP: 192.168.56.104 |  Command: RETR | Input: client_list.txt
[2023-04-14 05:39:09,118] Attacker IP: 192.168.56.104 |  Command: MDTM | Input: client_list.txt
[2023-04-14 05:39:09,118] Attacker IP: 192.168.56.104 |  Command: MDTM | Input: client_list.txt
[2023-04-14 05:39:09,118] Attacker IP: 192.168.56.104 |  Command: MDTM | Input: client_list.txt
[2023-04-14 05:39:09,118] Attacker IP: 192.168.56.104 |  Command: MDTM | Input: client_list.txt
[2023-04-14 05:48:14,089] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:48:14,089] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:48:14,089] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:48:14,089] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 05:51:58,576] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:51:58,576] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:51:58,576] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:51:58,576] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:51:58,576] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 05:51:59,302] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:51:59,302] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:51:59,302] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:51:59,302] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 05:51:59,302] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
